poi_id,name,city,latitude,longitude,tourism_category,opening_time,closing_time,visit_duration_minutes,popularity_score,indoor_outdoor
SL001,Sigiriya Rock Fortress,Sigiriya,7.957,80.7603,outdoor_cultural,07:00,17:30,180,0.98,outdoor
SL002,Pidurangala Rock,Sigiriya,7.9652,80.7611,outdoor_nature,05:00,18:00,150,0.87,outdoor
SL003,Sigiriya Museum,Sigiriya,7.953,80.758,indoor_cultural,08:00,17:00,60,0.72,indoor
SL004,Dambulla Cave Temple,Dambulla,7.8567,80.6492,indoor_cultural,07:00,19:00,120,0.92,mixed
SL005,Polonnaruwa Ancient City,Polonnaruwa,7.9403,81.0188,outdoor_cultural,07:00,18:00,210,0.94,outdoor
SL006,Anuradhapura Sacred City,Anuradhapura,8.3114,80.4037,outdoor_cultural,06:30,18:00,210,0.93,outdoor
SL007,Ruwanwelisaya Stupa,Anuradhapura,8.3467,80.3958,outdoor_cultural,05:00,21:00,60,0.88,outdoor
SL008,Mihintale,Mihintale,8.3542,80.5064,outdoor_cultural,06:00,18:00,120,0.83,outdoor
SL009,Minneriya National Park,Habarana,8.036,80.903,outdoor_nature,06:00,18:00,240,0.91,outdoor
SL010,Kaudulla National Park,Habarana,8.1333,80.9833,outdoor_nature,06:00,18:00,210,0.85,outdoor
SL011,Ritigala Monastery,Habarana,8.1167,80.6167,outdoor_cultural,07:00,17:00,120,0.78,outdoor
SL012,Habarana Eco Lodge,Habarana,8.035,80.75,accommodation,00:00,23:59,0,0.8,mixed
SL013,Temple of the Sacred Tooth Relic,Kandy,7.2936,80.6413,indoor_cultural,05:30,20:00,120,0.98,indoor
SL014,Royal Botanic Gardens Peradeniya,Kandy,7.2719,80.5957,outdoor_nature,07:30,18:00,180,0.93,outdoor
SL015,Kandy National Museum,Kandy,7.2946,80.6423,indoor_cultural,09:00,17:00,90,0.75,indoor
SL016,Udawattakele Forest Reserve,Kandy,7.3035,80.6455,outdoor_nature,07:00,18:00,150,0.8,outdoor
SL017,Kandy Lake,Kandy,7.292,80.6422,outdoor_nature,05:00,21:00,60,0.84,outdoor
SL018,Ceylon Tea Museum,Kandy,7.269,80.633,indoor_cultural,08:30,16:00,90,0.77,indoor
SL019,Kandy City Centre,Kandy,7.2927,80.6377,indoor_shopping,09:00,21:00,120,0.72,indoor
SL020,World Buddhist Museum,Kandy,7.2941,80.6428,indoor_cultural,08:00,17:00,90,0.73,indoor
SL021,Kandyan Cultural Centre,Kandy,7.2894,80.645,indoor_entertainment,16:00,19:00,90,0.79,indoor
SL022,Ambuluwawa Tower,Kandy,7.2,80.53,outdoor_nature,08:00,17:00,120,0.76,outdoor
SL023,Pinnawala Elephant Orphanage,Kandy,7.2989,80.3897,outdoor_nature,08:30,17:30,120,0.86,outdoor
SL024,Slightly Chilled Lounge Bar,Kandy,7.2932,80.64,indoor_food,11:00,23:00,90,0.74,indoor
SL025,The Empire Cafe Kandy,Kandy,7.293,80.639,indoor_food,07:30,22:00,60,0.75,indoor
SL026,Earl's Regency Hotel,Kandy,7.275,80.628,accommodation,00:00,23:59,0,0.85,mixed
SL027,Colombo National Museum,Colombo,6.9106,79.8611,indoor_cultural,09:00,17:00,150,0.91,indoor
SL028,Gangaramaya Temple,Colombo,6.9166,79.8562,indoor_cultural,05:30,22:00,90,0.9,mixed
